Cause,Title,No_of_victims
Caught in/between Objects, Employee Struck By A Lubricator ,Single
Electrocution, Employee Falls Down Stairs And Receives Multiple Fractures ,Single
Electrocution, Employee'S Fingers Are Amputated When Caught Between Rollers ,Single
Electrocution, Employee Is Killed When Run Over By Loader ,Single
Other, Employee Injures Head In Fall From Ladder ,Single
Electrocution, Employee Fractures Right Leg In Fall On Linoleum Floor ,Single
Electrocution, Employee Is Electrocuted ,Single
Electrocution, Employee'S Hip Is Fractured In Slip On Wet Floor ,Single
Fires and Explosion, Employee Falls From Roof Fracturing His Back ,Single
Struck By Moving Objects, Employee Falls Backward  Dies ,Single
Falls, Employee Gets Caught Between Trailer And Ground ,Single
Struck By Moving Objects, Employee Falls From Building  Later Dies ,Single
Electrocution, Employee Is Killed When Run Over By Industrial Tractor ,Single
Electrocution, Employee Is Struck And Killed By Wheel Loader ,Single
Struck By Moving Objects, Employee Is Asphyxiated And Killed In Fall From Loader ,Single
Falls, Employee Injured When Struck By Wheel Loader Fork ,Single
Other, Employee Slips From Ladder And Fractures Back ,Single
Falls, Employee Is Killed When Pipe Falls From Truck ,Single
Other, Employee Dies After Being Trapped Under Wheel Loader Arm ,Single
Falls, Employee'S Fingertip Is Amputated By Door ,Single
Other, Employee Is Injured In Fall From Wheel Loader Bucket ,Single
Electrocution, Employee Killed When Run Over By Wheel Loader ,Single
Struck By Moving Objects, Employee Crushed By Equipment ,Single
Struck By Moving Objects, Employee Get Hand Caught And Breaks Hand ,Single
Struck By Moving Objects, Employee Killed When Run Over By Wheel Loader ,Single
Struck By Moving Objects, Employee Injured When Run Over By Wheel Loader ,Single
Struck By Moving Objects, Employee Injures Ribs And Back In Fall Into Concrete Channal ,Single
Fires and Explosion, Employee Is Killed When Struck By Loose Hook ,Single
Struck By Moving Objects, Employee'S Finger Is Amputated When Caught By Rope And Drum ,Single
Falls, Employee Crushed Between Two Trucks ,Single
Fires and Explosion, Employee'S Fingers Are Amputated By Winch ,Single
Other, Employee'S Hand Caught In Rollers Of A Winch ,Single
Fires and Explosion, Employee Falls From Roof And Is Killed ,Single
Falls, Employee Falls And Dies From Blunt Force Trauma ,Single
Struck By Moving Objects, Window Washer Falls And Dies From Injuries ,Single
Falls, Employee Is Killed In Fall From Roof ,Single
Struck By Moving Objects, Employee Is Killed In Fall From Eight,Single
Falls, Employee Suffers Head Trauma From Falling Off Roof ,Single
Electrocution, Employee Dies After Fall From Window Ledge ,Single
Falls, Employee Suffers Fractures In Fall While Window Cleaning ,Single
Falls, Employee Is Injured In Fall From Building ,Single
Struck By Moving Objects, Employee'S Leg Is Injured By Falling Hook ,Single
Falls, Employee Falls From Ladder  Fractures Back ,Single
Struck By Moving Objects, Employee Is Killed In Fall From Mock,Single
Struck By Moving Objects, Employee Is Killed When Struck By Wing Of Harvesting Machine ,Single
Falls, Employee Suffers Concussion After Falling From Airplane Wing ,Single
Struck By Moving Objects, Employee Is Killed When Oxygen Flow Is Compromised ,Single
Struck By Moving Objects, Truck Driver Killed When Struck By Aircraft Wing ,Single
Falls, Employee Dies Of Injuries After Fall From Stepladder ,Single
Struck By Moving Objects, Employee Killed In Fall From Scaffold ,Single
Struck By Moving Objects, Employee Injures Knee In Fall From 3 Ft Wing Dock ,Single
Struck By Moving Objects, One Employee Killed  One Injured In Explosion ,Single
Struck By Moving Objects, Crushed Between Plane And Fuel Truck ,Single
Falls, Employee Amputates Finger In Wire Pulling Operation ,Single
Struck By Moving Objects, Employee Amputates Fingers In Machine ,Single
Other, Employee'S Eye Is Lacerated When Struck By Wire ,Single
Struck By Moving Objects, Employee'S Fingertip Is Amputated In Baler ,Single
Other, Employee Amputates Finger In Wire Drawing Machine ,Single
Struck By Moving Objects, Employee Is Electrocuted By Sump Pump Motor ,Single
Falls, Employee'S Finger Is Amputated When Pinched By Clamp ,Single
Falls, Employee Injures Finger During Maintenance ,Single
Falls, Employee Injured While Threading A Wire Draw Machine ,Single
Falls, Employee Fingers Amputated By Spooling Machine ,Single
Falls, Employee Killed When Caught In Machine ,Single
Falls, Employee Amputates Finger With Wire Draw Machine ,Single
Falls, Employee Dies When Finger Is Amputated By Wire Brush Machine ,Single
Falls, Employee Killed When Welding Machine Overturns ,Single
Falls, Employee'S Fingers Amputated In Wire Stranding Machine ,Single
Struck By Moving Objects, Employee Is Killed When Run Over By Tractor ,Single
Falls, Garbage Truck Driver Is Killed In Fall From Truck ,Single
Falls, Employee Killed In Vehicular Accident ,Single
Struck By Moving Objects, Employee Finger Is Amputated While Sawing Plywood ,Single
Falls, Employee Injures Hand When Using Saw To Cut Wood ,Single
Struck By Moving Objects, Employee'S Thumb In Amputated By Skill Saw ,Single
Struck By Moving Objects, Worker Amputates Finger While Cleaning Out Jammed Saw ,Single
Falls, Employees Burned In Wood Debris Conveyor ,Multiple
Falls, Employee Amputates Body Parts While Operating Wood Chipper ,Single
Falls, Employee Is Killed When Feeding Branches ,Single
Fires and Explosion, Worker Is Hit By Wood Particles  Injures Eye ,Single
Struck By Moving Objects, Employee'S Four Fingers Are Amputated By Table Saw ,Single
Electrocution, Employee Is Injured While Operating Wood Chipper ,Single
Caught in/between Objects, Employee Is Injured In Fall From Trailer Into Bin ,Single
Other, Employee Dies Other Employee Injured When Structurecollapses ,Single
Other, Employee Is Killed In Fall From Roof ,Single
Caught in/between Objects, Employee Injured When Struck By Overturned Trusses ,Single
Electrocution, Employee Is Struck By Wooden Post  Bruises Shoulder ,Single
Other, Employee Is Killed When Crushed By Truss Fabrication Table ,Single
Other, Employee Fingers Amputated In Wood Cutting Machine ,Single
Electrocution, Employee Killed In Fall When Wood Plank Breaks ,Single
Other, Employee Is Injured In Fall While Framing ,Single
Struck By Moving Objects, Employee Injured In Fall From One,Single
Caught in/between Objects, Three Employees Are Injured In Truss Collapse ,Multiple
Other, Employee Died Due To Hydrocodone Overdose ,Single
Falls, Employee Injured When Struck By Truss ,Single
Other, Falling Wood Trusses Kill And Injure Employees ,Multiple
Struck By Moving Objects, Employee Injured In Fall When Trusses Collapse ,Single
Falls, Employee Injured When Struck By Falling Wall ,Single
Struck By Moving Objects, Employee Bruised In Fall From Collapsing Scaffold ,Single
Other, Employee Fractures Arm When Caught In Conveyor ,Single
Other, Employee Is Struck By Falling Panel And Is Injured ,Single
Struck By Moving Objects, Employee Neck Is Injured When Struck By Plywood ,Single
Struck By Moving Objects, Employee Amputates Fingertip On Router Machine ,Single
Struck By Moving Objects, Employee Suffers A Knee Laceration While Using A Skill Saw ,Single
Other, Employee Amputates Fingers With Hand Saw ,Single
Other, Employee Is Struck By Wood Piece Which Perforates His Bowel ,Single
Caught in/between Objects, Employee'S Finger Is Lacerated While Cutting Cabinet Doors ,Single
Struck By Moving Objects, Employee Severs Fingertip In Wood Crafting Accident ,Single
Struck By Moving Objects, Employee Amputates Finger While Operating Wood Shaper ,Single
Other, Employee Amputates Finger When Hand Contacts Rotating Blades ,Single
Other, Worker Amputates Finger Using Shaper Machine ,Single
Struck By Moving Objects, Employee'S Pinky Is Fractured In Machine ,Single
Falls, Employee'S Finger Tip Is Amputated In Wood Shaper ,Single
Caught in/between Objects, Worker Amputates Finger While Shaping Wood Pieces ,Single
Other, Employee Amputates Finger Tip Shaping Wood ,Single
Other, Employee Injures Hand On Spinning Moulder Head ,Single
Struck By Moving Objects, Employee'S Fingers Are Amputated By Wood Shaper ,Single
Struck By Moving Objects, Employee Is Killed When Impaled By Flying Wood Board ,Single
Other, Employee Amputates Thumb While Operating Jointer ,Single
Other, Employee'S Hand And Fingers Are Injured Using A Skil Saw ,Single
Other, Employee Injures Thumb With Table Saw ,Single
Other, Employee Is Injured When Struck By Falling Truss  Later Dies ,Single
Other, Employee Is Killed In Fall From Platform ,Single
Other, Employee Sustains Fractures In Fall From Platform ,Single
Other, Employee Suffers Multiple Fractures In Fall From Lift ,Single
Other, Employee Is Killed In Fall From Scaffolding ,Single
Struck By Moving Objects, Employee Is Killed In Fall On Platform ,Single
Other, Employee Is Killed In Fall From Elevated Platform ,Single
Falls, Employee Is Killed When Struck By Vehicle ,Single
Other, Two Employees Die In Fall When Catwalk Fails ,Multiple
Other, Employee Is Hurt In Fall While Accessing Scaffold ,Single
Struck By Moving Objects, Worker Amputates Fingertip While Adjusting Running Machine ,Single
Falls, Worker Amputates Fingertip While Cleaning Conveyor ,Single
Falls, Employee Is Injured In Fall From Roof When Ladder Slips ,Single
Falls, Mental Health Facility Worker Is Assaulted By Client ,Single
Falls, Employee Climbing Down From Truck Amputates Finger ,Single
Falls, Employee Fractures Hip In Fall When Shoe Lace Catches Drawer ,Single
Falls, Employee Is Found Unresponsive At Desk ,Single
Other, Employee Is Struck And Killed On Highway Work Site ,Single
Other, Computer Programmer Is Found Dead At Work Station ,Single
Struck By Moving Objects, Employee Sustains Crushing Injuries To Arm And Hand ,Single
Caught in/between Objects, Employee Dies After Being Struck By Motor Vehicle ,Single
Falls, Aerial Lift Contacts Power Line  Electrocutes Worker ,Single
Struck By Moving Objects, Worker Is Electrocuted From Unknown Cause ,Single
Struck By Moving Objects, Employee Is Struck By Tree Branch  Later Dies ,Single
Other, Employee Is Killed In Vehicle Roll,Single
Struck By Moving Objects, Office Worker Trips On Electric Cords And Fractures Hip ,Single
Struck By Moving Objects, Employee'S Finger Is Cut By Band Saw ,Single
Electrocution, Employee Amputates Finger On Unguarded Blade ,Single
Electrocution, Employee Fractures Elbow In Fall From Unstable Bucket ,Single
Struck By Moving Objects, Employee Trips On Steel Pipe And Breaks Hip ,Single
Falls, Employee Amputates Tip Of Thumb In Belt Finishing Machine ,Single
Other, Employee Is Injured When Slips On Wet Paint ,Single
Other, Employee Is Injured In Trip And Fall ,Single
Falls, Employee Slips And Falls And Fractures Knee Cap ,Single
Falls, Employee Injures Foot When Caught Between Forklift And Guard ,Single
Other, Employee Is Injured In Fall From Roof ,Single
Other, Employee Fractures Hip In Slip And Fall To Floor ,Single
Falls, Employee Fractures Ankle In Fall From Ladder ,Single
Falls, Employee Is Injured In Fall From Second Story Of House ,Single
Other, Employee Fractures Hip In Trench Collapse ,Single
Falls, Employee Fractures Foot In Fall From Roof ,Single
Falls, Employee Shot In Attempted Robbery And Dies ,Single
Collapse of object, Employee Stabbed And Killed During A Verbal Altercation ,Single
Struck By Moving Objects, Employee Is Killed In Possible Homicide ,Single
Struck By Moving Objects, Employee Is Injured When Attacked By Hospital Patient ,Single
Caught in/between Objects, Employee Is Struck On Head By Patient  Fractures Skull ,Single
Struck By Moving Objects, Employee Gets Fatally Caught In Between ,Single
Struck By Moving Objects, Employee Injured When Struck By Log During Loading Operation ,Single
Struck By Moving Objects, Employee Injured In 15 Ft Fall From Beam ,Single
Struck By Moving Objects, Struck By Falling Wrecking Bar ,Single
Falls, Employee Injures Finger In Conveyor Accident ,Single
Struck By Moving Objects, Employee Is Burned By Arc Flash When Removing Electric Meter ,Single
Caught in/between Objects, Employee Falls From Elevated Work Platform  Later Dies ,Single
Electrocution, Employee Amputates Thumb While Operating Pneumatic Wrench ,Single
Other, One Employee Killed And Two Injured In Tire Explosion ,Single
Fires and Explosion, Employee Gets Right Leg Fracture While Replacing A Pressure ,Single
Other, Employee Asphyxiated From Xylene ,Single
Struck By Moving Objects, Employee Died When Overcome By Organic Vapors ,Single
Suffocation, Employee Died When Overcome By Organic Vapors ,Single
Fires and Explosion, Employee Burned When Xylene Vapors Ignite ,Single
Fires and Explosion, Employee Killed By Exploding Drum ,Single
Suffocation, Employees Sent To Hospital After Exposure To Xylene ,Multiple
Fires and Explosion, Employee Burned In Xylene Explosion And Fire ,Single
Suffocation, Employee Dies Of Asphyxiation In Chemical Tank ,Single
Suffocation, Employees Overcome By Chemical Vapor ,Multiple
Suffocation, Employee Dies Of Asphyxia In Confined Space ,Single
Suffocation, Employees Are Overcome By Xylene Vapors  One Hospitalized ,Multiple
